ts	phase	decision	why	evidence	result
2026-09-20T15:02:18Z	wave3	Retain native question answer files and include them in session cleanup	Files sent via native callback otherwise had no durable question history or deletion owner	6question tests;5history/deletion tests; UIhistory12 and filepreview4 by oracle worker	History persists across restart; deleted session reclaims activity-only blob; live proof pending
2026-09-20T15:20:16Z	implementation	Remove detached terminal expiry	Pinned attach disconnect only unsubscribes; local timer killed running jobs	apps/server/src/terminal/tests/service.test.ts; plans/126-t3code-alignment/terminal-delivery.md	46 focused cases then 31 service cases including real shell under eleven-minute clock; typecheck pass; deploy pending
2026-09-20T15:37:45Z	implementation	Persist bounded raw terminal output and serialize shared clear	History must survive process restart and clear must not race open	plans/126-t3code-alignment/terminal-delivery.md; terminal service35 tests; web history4+menu13 tests;20 pinned comparisons	Source verified; independent review fixed open/clear race, orphan cleanup and false kill success; live proof pending
2026-09-20T15:47:41Z	verification	Deploy composed stash, notifications, linked titles and terminal history	Complete each bounded user path on the actual mesh release	release153923; stash154026; notifications154618; terminal154534 evidence directories under /work/tmp/fregat-evidence	Live-check pass; real browser proofs pass; screenshots read; owned fixtures cleaned; full48-group plan remains open
2026-09-20T15:51:48Z	scope	Finish the active batch and wrap up at user request	User said ok last one wrap up the goal after terminal restart, draft recovery and response settings were underway	Current user instruction; plans/126-t3code-alignment.md; .audit/plan126-workflow.md	No new implementation units; finish active four units, deploy and verify; remaining48-group program stays explicitly open
2026-09-20T15:58:29Z	deployment	Deploy final authorized four-unit batch	User requested wrap-up after current batch	/work/platform-production/releases/20260920T155743Z-b915d3e0-plan126-final-batch/live-check.json; /work/tmp/plan126-final-deploy.log	Live-check passed; serialized feature browser proofs underway; full plan remains open
2026-09-20T15:59:12Z	verification	Verify terminal restart and all terminal consumers	Restart must replace process state without losing viewer ownership	/work/tmp/plan126-terminal-final.log; /work/tmp/plan126-terminal-agent-final.log; /work/tmp/plan126-tui-attach-final.log; plans/126-t3code-alignment/terminal-delivery.md	38 service,16 agent terminal/history,4 TUI attach tests passed; client types pass; live shell restart proof pending
2026-09-20T16:05:45Z	verification	Diagnose missing draft row through captured state	Repeated locator failure required raw browser and persisted-data evidence	/work/tmp/fregat-evidence/20260920T160411Z-scenario-draft-recovery/inspection.json; /work/tmp/fregat-evidence/20260920T160411Z-scenario-draft-recovery/02-failure-before-cleanup.png	Draft intact and visibly rendered; missing option role identified; accessibility fix and live rerun required
2026-09-20T16:05:50Z	verification	Verify opt-in Plan and context controls against native provider	Confirm default-hidden UI, retained unsent preference and effective native mode	/work/tmp/fregat-evidence/20260920T160544Z-scenario-composer-defaults/; plans/126-t3code-alignment/composer-defaults-delivery.md	Pass3.36s;3screenshots read; native default mode captured; settings restored; session/provider removed;3processes exited; fixture calibration failures documented
2026-09-20T16:07:25Z	verification	Prove shell restart with two live viewers	Restart must replace process state while preserving attached viewers	/work/tmp/fregat-evidence/20260920T160608Z-scenario-terminal-history/summary.md; /work/tmp/fregat-evidence/20260920T160608Z-scenario-terminal-history/inspection.json	Five steps passed; final screenshot inspected; owned clear and kill returned200; production service restart persistence remains local-test-only
2026-09-20T16:08:13Z	correction	Wire pointer activation for recoverable draft rows	Live recovery reached visible accessible row but clicking only moved its listbox cursor	/work/tmp/fregat-evidence/20260920T160711Z-scenario-draft-recovery/summary.md; apps/web/src/components/chat-draft-rail.tsx	Pointer-open bug identified; click, keyboard and discard regression checks required before web redeploy
2026-09-20T16:10:21Z	correction	Route native reasoning through shared delivery ingestion	Real browser retained only180characters despite isolated ingestion tests passing	/work/tmp/fregat-evidence/20260920T160844Z-scenario-response-delivery/summary.md; /work/tmp/fregat-evidence/20260920T160844Z-scenario-response-delivery/01-failed-before-cleanup.png	Native adapter bypass identified; native-to-ingestion regression and server redeploy required
2026-09-20T16:15:02Z	verification	Verify native reasoning through adapter and database projection	Separate adapter and ingestion unit tests missed truncation and ordering at their boundary	plans/126-t3code-alignment/response-delivery.md; apps/server/src/orchestration/tests; /work/tmp/fregat-evidence/20260920T160844Z-scenario-response-delivery/summary.md	90 focused tests pass including6 real adapter-to-database reasoning cases; final live rerun pending server deploy
2026-09-20T16:12:05Z	verification	Complete bounded recoverable draft delivery	Final live rerun proves both recovered content and row activation after accessibility and pointer fixes	/work/tmp/fregat-evidence/20260920T161205Z-scenario-draft-recovery/; plans/126-t3code-alignment/draft-recovery-delivery.md	PASS; three screenshots inspected; own drafts and upload cleaned; browser slot released; LIFE-12 cleanup remainder stays open
2026-09-20T16:16:25Z	completion	Finish the four active units and stop at user wrap-up boundary	All required final-batch browser paths now pass after fixing observed integration defects	plans/126-t3code-alignment/wrap-up.md; /work/platform-production/releases/20260920T161447Z-b915d3e0-plan126-complete-batch/live-check.json; /work/tmp/fregat-evidence/20260920T161535Z-scenario-response-delivery/summary.md	Final web+server release161447 confirmed; four live proofs inspected; focused checks pass; full48-group alignment remains open
2026-09-20T16:15:40Z	verification	Complete bounded native response delivery proof	Native adapter bypass and snapshot chunk ordering were reproduced and corrected through real ingestion	/work/tmp/plan126-response-delivery-90-tests.log; /work/tmp/fregat-evidence/20260920T161535Z-scenario-response-delivery/; plans/126-t3code-alignment/response-delivery.md	90 tests pass; release161447 native live passed; two screenshots inspected; exact reload content and fixture cleanup proven; full RUNTIME-09 remains open
